Plat,Est_Vegetarien,Est_Vegetarien_Ameliore,Est_Vegetarien_Final
Rôti de porc au jus,False,False,False
Poulet rôti,False,False,False
Steak haché,False,False,False
Tortis bolognaise,False,False,False
Poisson pané,False,False,False
Couscous d'agneau et ses légumes,False,False,False
Filet de lieu beurre persillé,False,False,False
Bœuf bourguignon,False,False,False
Galette saucisse,False,False,False
Sot l'y laisse de dinde,False,False,False
Filet de saumon sauce hollandaise,False,False,False
Rôti de veau au jus,False,False,False
Poulet label rôti,False,False,False
Sauté de porc au paprika,False,False,False
Timbale milanaise,False,False,False
Filet de lieu sauce crevettes,False,False,False
Blanquette de veau,False,False,False
Rôti de porc au jus,False,False,False
Steak haché,False,False,False
Lasagnes de bœuf,False,False,False
Omelette,False,True,True
Paëlla aux légumes,False,True,True
Agneau marengo,False,False,False
Filet de lieu sauce crme,False,False,False
Sauté de porc au curry,False,False,False
Poulet rôti,False,False,False
Escalope de dinde au jus,False,False,False
Hachis parmentier,False,False,False
Filet de lieu sauce armoricaine,False,False,False
Sauté de poulet antillais,False,False,False
Poisson pané beurre citron,False,False,False
Rôti de porc,False,False,False
Saucisse grillée,False,False,False
Rôti de dinde au jus,False,False,False
Couscous de légumes,False,True,True
Hachis parmentier,False,False,False
Filet de saumon sauce beurre blanc,False,False,False
Poulet rôti,False,False,False
Filet de lieu sauce dieppoise,False,False,False
Gratin de boulgour,False,True,True
Rôti de bœuf,False,False,False
Rôti de porc sauce tomate,False,False,False
Filet de lieu sauce provenale,False,False,False
Timbale milanaise,False,False,False
Sauté de bœuf aux olives,False,False,False
Sauté de dinde à l'oignon,False,False,False
Couscous au poulet et ses légumes,False,False,False
Sauté de porc dijonnais,False,False,False
Escalope de dinde,False,False,False
Courgettes parmentires,False,True,True
Filet de saumon sauce suchet,False,False,False
Saucisse grillée,False,False,False
Rôti de dinde aux herbes,False,False,False
Gratin de pommes de terre au fromage fondu,False,True,True
Courgettes parmentires,False,True,True
Filet de lieu sauce grenobloise,False,False,False
Poulet rôti,False,False,False
Sauté de veau marengo,False,False,False
Jambon braisé froid,False,False,False
Paëlla aux légumes,False,True,True
Filet de lieu sauce poivrons,False,False,False
Omelette,False,True,True
Sauté de poulet antillais,False,False,False
Escalope de porc charcutire,False,False,False
Tortis bolognaise,False,False,False
Filet de lieu sauce crevettes,False,False,False
Poisson pané beurre citron,False,False,False
Poulet rôti,False,False,False
Sauté de dinde louisianne,False,False,False
Saucisse rougail,False,False,False
Rôti de bœuf,False,False,False
REPAS DE SUBSTITUTION,False,False,False
Rôti de porc,False,False,False
Steak haché,False,False,False
Rôti de dinde,False,False,False
Filet de lieu sauce tomate,False,False,False
Sauté de poulet colombo,False,False,False
Filet de saumon sauce hollandaise,False,False,False
Rôti de bœuf,False,False,False
Filet de lieu sauce crevettes,False,False,False
Saucisse,False,False,False
Hachis parmentier,False,False,False
Rôti de veau au jus,False,False,False
Poulet label rôti,False,False,False
Sauté de bœuf aux olives,False,False,False
Filet de lieu sauce moules,False,False,False
Couscous de légumes,False,True,True
Rôti de porc,False,False,False
Veau marengo,False,False,False
Escalope de porc charcutire,False,False,False
Poulet label rôti,False,False,False
Poisson pané beurre citron,False,False,False
Rôti de bœuf,False,False,False
Gratin de pommes de terre fromagé,False,True,True
Filet de lieu sauce beurre blanc,False,False,False
Sauté de porc dijonnaise,False,False,False
Escalope de dinde au jus,False,False,False
Hachis parmentier,False,False,False
Saucisse,False,False,False
Rôti de dinde,False,False,False
Filet de lieu sauce crme,False,False,False
Poulet rôti,False,False,False
Sauté de bœuf aux olives,False,False,False
Rôti de porc,False,False,False
Poisson pané sauce tomate,False,False,False
Aiguillettes de poulet provenale,False,False,False
Steak haché,False,False,False
Gratin de boulghour,False,True,True
Dos de cabillaud beurre citron,False,False,False
Lasagne de bœuf,False,False,False
Sauté de dinde aux olives,False,False,False
Rôti de dinde au jus,False,False,False
Poulet rôti,False,False,False
Gratin de pommes de terre au fromage frais,False,True,True
Bœuf à la marocaine,False,False,False
Filet de lieu sauce crème,False,False,False
Colombo de poulet,False,False,False
Sauté de porc agenais,False,False,False
Escalope de dinde aux herbes,False,False,False
