Plat,vegetarien_bool_improved,detail
Rôti de porc au jus,False,"[('Rôti de porc au jus', 'meat_or_fish')]"
Poulet rôti,False,"[('Poulet rôti', 'meat_or_fish')]"
Steak haché,False,"[('Steak haché', 'meat_or_fish')]"
Tortis bolognaise,False,"[('Tortis bolognaise', 'ambiguous -> nonveg')]"
Poisson pané,False,"[('Poisson pané', 'meat_or_fish')]"
Couscous d'agneau et ses légumes,False,"[(""Couscous d'agneau et ses légumes"", 'meat_and_veg -> nonveg')]"
Filet de lieu beurre persillé,False,"[('Filet de lieu beurre persillé', 'ambiguous -> nonveg')]"
Bœuf bourguignon,False,"[('Bœuf bourguignon', 'meat_or_fish')]"
Galette saucisse,False,"[('Galette saucisse', 'meat_and_veg -> nonveg')]"
Sot l'y laisse de dinde,False,"[(""Sot l'y laisse de dinde"", 'meat_or_fish')]"
Filet de saumon sauce hollandaise,False,"[('Filet de saumon sauce hollandaise', 'meat_or_fish')]"
Rôti de veau au jus,False,"[('Rôti de veau au jus', 'meat_or_fish')]"
Poulet label rôti,False,"[('Poulet label rôti', 'meat_or_fish')]"
Sauté de porc au paprika,False,"[('Sauté de porc au paprika', 'meat_or_fish')]"
Timbale milanaise,False,"[('Timbale milanaise', 'ambiguous -> nonveg')]"
Filet de lieu sauce crevettes,False,"[('Filet de lieu sauce crevettes', 'meat_or_fish')]"
Blanquette de veau,False,"[('Blanquette de veau', 'meat_or_fish')]"
Rôti de porc au jus,False,"[('Rôti de porc au jus', 'meat_or_fish')]"
Steak haché,False,"[('Steak haché', 'meat_or_fish')]"
Lasagnes de bœuf,False,"[('Lasagnes de bœuf', 'meat_or_fish')]"
Omelette,True,"[('Omelette', 'veg_positive')]"
Paëlla aux légumes,True,"[('Paëlla aux légumes', 'veg_positive')]"
Agneau marengo,False,"[('Agneau marengo', 'meat_or_fish')]"
Filet de lieu sauce crme,False,"[('Filet de lieu sauce cr\x8fme', 'ambiguous -> nonveg')]"
Sauté de porc au curry,False,"[('Sauté de porc au curry', 'meat_or_fish')]"
Poulet rôti,False,"[('Poulet rôti', 'meat_or_fish')]"
Escalope de dinde au jus,False,"[('Escalope de dinde au jus', 'meat_or_fish')]"
Hachis parmentier,False,"[('Hachis parmentier', 'ambiguous -> nonveg')]"
Filet de lieu sauce armoricaine,False,"[('Filet de lieu sauce armoricaine', 'ambiguous -> nonveg')]"
