Date;Secteur;Commentaire semaine;Commentaire jour;Code_entrée;Entrée;Code_plat;Plat;Code_légumes;Légumes;Code_laitage;Laitage;Code_dessert;Dessert;Code_gouter;Gouter;Code_gouter_02;Gouter_02;is_vege_day;Entrée_bio;Entrée_dur;Entrée_loc;Plat_bio;Plat_dur;Plat_loc;Légumes_bio;Légumes_dur;Légumes_loc;Laitage_bio;Laitage_dur;Laitage_loc;Dessert_bio;Dessert_dur;Dessert_loc;Gouter_bio;Gouter_dur;Gouter_loc;Gouter_02_bio;Gouter_02_dur;Gouter_02_loc;Année;AnnéeISO;Semaine;has_vege_week
2016-03-21;2;;;FLS;Pamplemousse;VPF;Rôti de porc au jus;;Lentilles;;Crme au chocolat;;;;Pain/ confiture d'abricots/ lait;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;12;False
2016-03-22;1;;;AB;Salade floride (carotte râpée, dé d'orange);;Poulet rôti;;Frites;;Saint Paulin;;Compote pommes/ fraises;;Pain/ beurre/ barre chocolatée/ lait;;;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;12;False
2016-03-23;2;;;AB;Salade piémontaise (pomme de terre, tomate, jambon, œuf, cornichon);VBF;Steak haché;;Haricots beurre;;Edam;FLS;Poire;AB;Cake aux pépites de chocolat/ yaourt nature;;;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;2016;2016;12;False
2016-03-24;2;;;;Radis;VBF,AB;Tortis bolognaise;;;;Camembert;FLS;Pomme;;Pain/ compote de pches/ lait;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;12;False
2016-03-25;1;;;;Salade bicolore (chou rouge et blanc, pomme, raisin sec);;Poisson pané;;Printanire de légumes;EBR;Fromage blanc;;;;Pain/ beurre/ corbeille de fruits/ lait ou fromage;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;12;False
2016-03-29;2;;;;Concombres bulgares;;Couscous d'agneau et ses légumes;AB;Semoule;;Crme pralinée;;;;Pain/ beurre/ kiwi/ lait;;;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;13;False
2016-03-30;3;;;AB;Salade de blé aux légumes;;Filet de lieu beurre persillé;FLS,AB;Fondue de poireaux;;Tome noire;FLS;Orange;;Pain/ beurre/ barre chocolatée/ lait;;;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;13;False
2016-03-31;1;;;;Oeufs/ salade;VBF;Bœuf bourguignon;AB;Carottes aux pruneaux;;Fromage fondu;FLS;Pomme;;Pain/ compote de pches/ lait;;;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;13;False
2016-04-01;1;;;;Salade de thon/ tomate/ maïs;VPF;Galette saucisse;;Salade verte;;;;Timbale glacée;;Pain/ beurre/ corbeille de fruits/ lait ou fromage;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;13;False
2016-04-04;3;VACANCES SCOLAIRES;;;Salade fantaisie (céleri, pomme, raisin sec);;Sot l'y laisse de dinde;;Haricots verts;;Riz au lait;;;;Pain/ beurre/ barre chocolatée/ lait;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;14;False
