Plat_unique,vegetarien,commentaire,_debug_note
rôti de porc au jus,False,sûr,matched_nonveg:porc
poulet rôti,False,sûr,matched_nonveg:poulet
steak haché,False,sûr,matched_nonveg:steak
tortis bolognaise,False,sûr,matched_nonveg:bolognaise
poisson pané,False,sûr,matched_fish:poisson
couscous d'agneau et ses légumes,False,sûr,matched_nonveg:agneau
filet de lieu beurre persillé,False,sûr,matched_nonveg:filet
bœuf bourguignon,False,sûr,matched_nonveg:bœuf
galette saucisse,False,sûr,matched_nonveg:saucisse
sot l'y laisse de dinde,False,sûr,matched_nonveg:dinde
filet de saumon sauce hollandaise,False,sûr,matched_nonveg:filet
rôti de veau au jus,False,sûr,matched_nonveg:veau
poulet label rôti,False,sûr,matched_nonveg:poulet
sauté de porc au paprika,False,sûr,matched_nonveg:porc
timbale milanaise,False,incertain,short_unknown
filet de lieu sauce crevettes,False,sûr,matched_nonveg:filet
blanquette de veau,False,sûr,matched_nonveg:veau
lasagnes de bœuf,False,sûr,matched_nonveg:bœuf
omelette,True,sûr,matched_veg:omelette
paëlla aux légumes,True,sûr,matched_veg:légumes
agneau marengo,False,sûr,matched_nonveg:agneau
filet de lieu sauce crme,False,sûr,matched_nonveg:filet
sauté de porc au curry,False,sûr,matched_nonveg:porc
escalope de dinde au jus,False,sûr,matched_nonveg:escalope
hachis parmentier,False,incertain,short_unknown
filet de lieu sauce armoricaine,False,sûr,matched_nonveg:filet
sauté de poulet antillais,False,sûr,matched_nonveg:poulet
poisson pané beurre citron,False,sûr,matched_fish:poisson
rôti de porc,False,sûr,matched_nonveg:porc
saucisse grillée,False,sûr,matched_nonveg:saucisse
rôti de dinde au jus,False,sûr,matched_nonveg:rôti
couscous de légumes,True,sûr,matched_veg:légumes
filet de saumon sauce beurre blanc,False,sûr,matched_nonveg:filet
filet de lieu sauce dieppoise,False,sûr,matched_nonveg:filet
gratin de boulgour,True,incertain_but_checked,preserved
rôti de bœuf,False,sûr,matched_nonveg:bœuf
rôti de porc sauce tomate,False,sûr,matched_nonveg:porc
filet de lieu sauce provenale,False,sûr,matched_nonveg:filet
sauté de bœuf aux olives,False,sûr,matched_nonveg:bœuf
sauté de dinde à l'oignon,False,sûr,matched_nonveg:dinde
couscous au poulet et ses légumes,False,sûr,matched_nonveg:poulet
sauté de porc dijonnais,False,sûr,matched_nonveg:porc
escalope de dinde,False,sûr,matched_nonveg:escalope
courgettes parmentires,False,incertain,short_unknown
filet de saumon sauce suchet,False,sûr,matched_nonveg:filet
rôti de dinde aux herbes,False,sûr,matched_nonveg:rôti
gratin de pommes de terre au fromage fondu,True,sûr,matched_veg:fromage
filet de lieu sauce grenobloise,False,sûr,matched_nonveg:filet
sauté de veau marengo,False,sûr,matched_nonveg:veau
jambon braisé froid,False,sûr,matched_nonveg:jambon
filet de lieu sauce poivrons,False,sûr,matched_nonveg:filet
escalope de porc charcutire,False,sûr,matched_nonveg:porc
sauté de dinde louisianne,False,sûr,matched_nonveg:dinde
saucisse rougail,False,sûr,matched_nonveg:saucisse
repas de substitution,False,incertain,fallback
rôti de dinde,False,sûr,matched_nonveg:rôti
filet de lieu sauce tomate,False,sûr,matched_nonveg:filet
sauté de poulet colombo,False,sûr,matched_nonveg:poulet
saucisse,False,sûr,matched_nonveg:saucisse
filet de lieu sauce moules,False,sûr,matched_nonveg:filet
veau marengo,False,sûr,matched_nonveg:veau
gratin de pommes de terre fromagé,True,incertain_but_checked,preserved
filet de lieu sauce beurre blanc,False,sûr,matched_nonveg:filet
sauté de porc dijonnaise,False,sûr,matched_nonveg:porc
poisson pané sauce tomate,False,sûr,matched_fish:poisson
aiguillettes de poulet provenale,False,sûr,matched_nonveg:poulet
gratin de boulghour,True,incertain_but_checked,preserved
dos de cabillaud beurre citron,False,sûr,matched_fish:cabillaud
lasagne de bœuf,False,sûr,matched_nonveg:bœuf
sauté de dinde aux olives,False,sûr,matched_nonveg:dinde
gratin de pommes de terre au fromage frais,True,sûr,matched_veg:fromage
bœuf à la marocaine,False,sûr,matched_nonveg:bœuf
filet de lieu sauce crème,False,sûr,matched_nonveg:filet
colombo de poulet,False,sûr,matched_nonveg:poulet
sauté de porc agenais,False,sûr,matched_nonveg:porc
escalope de dinde aux herbes,False,sûr,matched_nonveg:escalope
filet de saumon à l'oseille,False,sûr,matched_nonveg:filet
poulet basquaise,False,sûr,matched_nonveg:poulet
rôti de dinde label au jus,False,sûr,matched_nonveg:rôti
bœuf à la mrocaine,False,sûr,matched_nonveg:bœuf
filet de lieu à la grenobloise,False,sûr,matched_nonveg:filet
aiguillettes de poulet sauce tomate,False,sûr,matched_nonveg:poulet
filet de lieu sauce hollandaise,False,sûr,matched_nonveg:filet
cassoulet,True,incertain_but_checked,preserved
escalope de poulet,False,sûr,matched_nonveg:poulet
rôti de bœuf au jus,False,sûr,matched_nonveg:bœuf
filet de lieu sauce crevette,False,sûr,matched_nonveg:filet
sauté de porc caramel,False,sûr,matched_nonveg:porc
poulet à l'ananas,False,sûr,matched_nonveg:poulet
bœuf flamand,False,sûr,matched_nonveg:bœuf
filet de saumon sauce crème,False,sûr,matched_nonveg:filet
poulet rôti label,False,sûr,matched_nonveg:poulet
jambon braisé,False,sûr,matched_nonveg:jambon
tartiflette,False,incertain,ambiguous_indicator:tartiflette
escalope de poulet au paprika,False,sûr,matched_nonveg:poulet
sauté de porc charcutier,False,sûr,matched_nonveg:porc
dos de cabillaud sauce moules,False,sûr,matched_fish:cabillaud
rôti de porc aux herbes,False,sûr,matched_nonveg:porc
tajine d'agneau aux abricots,False,sûr,matched_nonveg:agneau
filtet de lieu sauce crevette,False,sûr,matched_fish:crevette
sauté de poulet aux pruneaux,False,sûr,matched_nonveg:poulet
gratin de pommes de terre au fromage,True,sûr,matched_veg:fromage
escalope de porc sauce charcutière,False,sûr,matched_nonveg:porc
sauté de poulet basquaise,False,sûr,matched_nonveg:poulet
timbale de poisson au maquereau,False,sûr,matched_fish:poisson
sauté de porc à l'indienne,False,sûr,matched_nonveg:porc
boulghour au légumes,True,sûr,matched_veg:légumes
rôti de dinde farci et sa sauce,False,sûr,matched_nonveg:rôti
filet de saumon beurre persillé,False,sûr,matched_nonveg:filet
rôti de veau aux herbes,False,sûr,matched_nonveg:veau
filet de lieu sauce oseille,False,sûr,matched_nonveg:filet
blanquette de veau à l'ancienne,False,sûr,matched_nonveg:veau
sauté de poulet agenais,False,sûr,matched_nonveg:poulet
pizza aux 4 légumes,True,sûr,matched_veg:légumes
paëlla de légumes,True,sûr,matched_veg:légumes
bœuf chasseur,False,sûr,matched_nonveg:bœuf
filet de saumon sauce oseille,False,sûr,matched_nonveg:filet
escalope de dinde label à la crème,False,sûr,matched_nonveg:escalope
émincé de dinde label aux champignons,False,sûr,matched_nonveg:dinde
sauté de dinde label sauce louisianne,False,sûr,matched_nonveg:dinde
tajine d'agneau aux pruneaux,False,sûr,matched_nonveg:agneau
escalope de dinde label sauce paprika,False,sûr,matched_nonveg:escalope
filet de saumon sauce béarnaise,False,sûr,matched_nonveg:filet
lasagne de légumes,True,sûr,matched_veg:légumes
dos de cabillaud beurre blanc,False,sûr,matched_fish:cabillaud
blanquette de dinde,False,sûr,matched_nonveg:dinde
sauté de porc à la moutarde,False,sûr,matched_nonveg:porc
rôti de dinde label aux herbes,False,sûr,matched_nonveg:rôti
escalope de porc,False,sûr,matched_nonveg:porc
sot l'y laisse de dinde label,False,sûr,matched_nonveg:dinde
galette / saucisse,False,sûr,matched_nonveg:saucisse
filet de lieu beurre citron,False,sûr,matched_nonveg:filet
escalope de poulet aux champignons,False,sûr,matched_nonveg:poulet
curry d'agneau,False,sûr,matched_nonveg:agneau
pizza aux légumes,True,sûr,matched_veg:légumes
dos de cabillaud beurre persillé,False,sûr,matched_fish:cabillaud
bœuf marocain,False,sûr,matched_nonveg:bœuf
filet de saumon beurre blanc,False,sûr,matched_nonveg:filet
rôti de dinde label sauce tomate,False,sûr,matched_nonveg:rôti
escalope de porc charcutière,False,sûr,matched_nonveg:porc
aiguillettes de poulet aux herbes,False,sûr,matched_nonveg:poulet
escaloppe de dinde label dijonnaise,False,sûr,matched_nonveg:dinde
sot-l'y-laisse de dinde label sauce champignons,False,sûr,matched_nonveg:dinde
jambon braisé au jus,False,sûr,matched_nonveg:jambon
tajine de bœuf aux pruneaux,False,sûr,matched_nonveg:bœuf
sauté de porc sauce charcutière,False,sûr,matched_nonveg:porc
poulet rôti label au jus,False,sûr,matched_nonveg:poulet
,False,incertain,empty
escalope de porc aux herbes,False,sûr,matched_nonveg:porc
sauté d'agneau marengo,False,sûr,matched_nonveg:agneau
sauté label antillais,False,incertain,fallback
dos de cabillaud,False,sûr,matched_fish:cabillaud
rôti de porc 1/2 sel/ cornichons,False,sûr,matched_nonveg:porc
galette/ saucisse,False,sûr,matched_nonveg:saucisse
filet de saumon,False,sûr,matched_nonveg:filet
sauté de poulet sauce dijonnaise,False,sûr,matched_nonveg:poulet
escalope de dinde label au jus,False,sûr,matched_nonveg:escalope
aiguillettes de poulet provençale,False,sûr,matched_nonveg:poulet
pizza au fromage,True,sûr,matched_veg:fromage
rôti de dinde aux champignons,False,sûr,matched_nonveg:rôti
bœuf sauce à la marocaine,False,sûr,matched_nonveg:bœuf
sauté de porc,False,sûr,matched_nonveg:porc
de poulet agenais,False,sûr,matched_nonveg:poulet
tortis bolognaises,False,incertain,short_unknown
saucisse de porc,False,sûr,matched_nonveg:porc
de volaille,False,sûr,matched_nonveg:volaille
de dinde au jus,False,sûr,matched_nonveg:dinde
aiguillettes de poulet sauce tomates,False,sûr,matched_nonveg:poulet
cassoulet (saussice de porc,False,sûr,matched_nonveg:porc
de volaille),False,sûr,matched_nonveg:volaille
escalope de poulet au jus,False,sûr,matched_nonveg:poulet
de dinde au caramel,False,sûr,matched_nonveg:dinde
rôti de dinde sauce madère,False,sûr,matched_nonveg:rôti
coquillettes bolognaises,False,incertain,short_unknown
filet de lieu sauce tomates,False,sûr,matched_nonveg:filet
tartiflette de dinde,False,sûr,matched_nonveg:dinde
de dinde,False,sûr,matched_nonveg:dinde
rôti de dinde label aux châtaignes,False,sûr,matched_nonveg:rôti
de dinde aux herbes,False,sûr,matched_nonveg:dinde
dos de cabillaud sauce crevette,False,sûr,matched_fish:cabillaud
sauté de veau aux champignons,False,sûr,matched_nonveg:veau
saucisse de volaille,False,sûr,matched_nonveg:saucisse
tartiflette (dés de porc,False,sûr,matched_nonveg:porc
dés de dinde),False,sûr,matched_nonveg:dinde
rôti de dinde au jus label,False,sûr,matched_nonveg:rôti
poulet rôti au jus,False,sûr,matched_nonveg:poulet
saucisse grillée de porc,False,sûr,matched_nonveg:porc
timbale de légumes,True,sûr,matched_veg:légumes
sauté de dinde à l'indienne,False,sûr,matched_nonveg:dinde
boulghour de légumes,True,sûr,matched_veg:légumes
rôti de dinde farci sauce champignons des bois,False,sûr,matched_nonveg:rôti
jambon braisé aux champignons,False,sûr,matched_nonveg:jambon
dos de cabillaud sauce crème,False,sûr,matched_fish:cabillaud
sot-l'y-laisse de dinde sauce tomate,False,sûr,matched_nonveg:dinde
